channel,name,confidence,unit,scale,offset,typical_hz,raw_min,raw_max,scaled_min,scaled_max,samples,files_seen,evidence_or_notes
0x28,altitude,confirmed,m,0.01,,,,,,,,,tracks terrain elevation over a drive and agrees with known ground height along the route
0x29,gps_heading,confirmed,deg,0.01,,,,,,,,,median error 0.26 deg against GPS-derived bearing; 99.4% of moving samples within 5 deg
0x2a,ch_2a,unknown,,,,,,,,,,,constant 1 - likely a GPS validity flag (sits in the GPS block)
0x2b,gps_fix,probable,code,1,,,,,,,,,"sits in the GPS block; 1-4 in a single file but 1-16 across all 31, which fits a constellation bitmask better than a plain fix-quality code - treat the name as unsettled"
0x2c,gps_satellites,probable,count,1,,,,,,,,,"sits in the GPS block, 3-17 across all recordings, tracking sky visibility - consistent with satellite count"
0x2d,lap,confirmed,count,1,,,,,,,,,logged on change only; intervals between marks reproduce independently OCR-derived lap times to within 0.005 s. The only mismatches were spurious OCR 'pit fragments' that the counter correctly never counted
0x2e,ch_2e,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x2f,ch_2f,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x30,ch_30,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x31,ch_31,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x32,ch_32,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x33,ch_33,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x34,ch_34,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x35,ch_35,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x36,ch_36,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x37,ch_37,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x38,ch_38,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x39,ch_39,unknown,,,,,,,,,,,1 Hz block member (0x2e-0x39); these look like session or trip accumulators rather than live sensor values
0x3a,ch_3a,unknown,,,,,,,,,,,reaches 2147483647 (INT32_MAX) - a saturation or invalid sentinel
0x3b,wheel_1,confirmed,m/s,0.00868056,,,,,,,,,correlates 1.000 with GPS ground speed; as 1/32 km/h per bit (standard GM CAN) matches on-screen speed to 0.8 mph
0x3c,wheel_2,confirmed,m/s,0.00868056,,,,,,,,,as 0x3b
0x3d,wheel_3,confirmed,m/s,0.00868056,,,,,,,,,as 0x3b
0x3e,wheel_4,confirmed,m/s,0.00868056,,,,,,,,,as 0x3b
0x3f,ch_3f,unknown,,,,,,,,,,,"temperature-shaped and close to coolant in magnitude (~74-121 C at offset -40), but far more tightly regulated - flat to sd 0.59 on track and dead constant in some files. A second coolant loop, or a setpoint rather than a measurement"
0x40,ch_40,unknown,,,,,,,,,,,"narrow band 65-86, steps frequently"
0x41,ch_41,unknown,,,,,,,,,,,"temperature-shaped, 62-67 C if offset -40"
0x42,ch_42,unknown,,,,,,,,,,,"temperature-shaped, 64-75 C if offset -40, ~10 Hz"
0x43,steering,probable,raw,1,,,,,,,,,"correlates +0.965 with lateral accel, so direction and identity are solid; degrees-per-bit is NOT established"
